request_id,scenario,prompt_class,arrival_offset_s,start_ts,first_token_ts,end_ts,ttft_ms,e2e_ms,itl_mean_ms,itl_p95_ms,output_chars,approx_output_tokens,prompt_chars,status,error,metadata
req_000,mixed_batching,short,0.4080241149099204,0.409076452255249,0.44823408126831055,0.7089250087738037,39.15762901306152,299.8485565185547,9.689459433922401,10.871350765228271,135,28,131,ok,,
req_001,mixed_batching,long,0.418155650527016,0.418550968170166,0.45808935165405273,3.295583963394165,39.53838348388672,2877.032995223999,9.489602468484222,10.578703880310057,1733,300,160,ok,,
req_002,mixed_batching,short,0.5468052761570021,0.5480430126190186,0.5841515064239502,0.9079420566558838,36.10849380493164,359.89904403686523,9.536533644705107,10.24923324584961,163,35,131,ok,,
req_003,mixed_batching,long,0.6478397504250476,0.6493494510650635,0.6802589893341064,3.5126490592956543,30.90953826904297,2863.299608230591,9.472572683889332,10.508966445922852,1732,300,160,ok,,
req_004,mixed_batching,short,1.1812768195482808,1.1824052333831787,1.2161188125610352,1.442328929901123,33.713579177856445,259.92369651794434,9.425266929294752,10.248804092407227,118,25,131,ok,,
req_005,mixed_batching,long,1.632946023067718,1.6340651512145996,1.6691575050354004,4.498737335205078,35.09235382080078,2864.6721839904785,9.463071823120117,10.56208610534668,1731,300,160,ok,,
req_006,mixed_batching,short,2.5238612628882704,2.5244762897491455,2.5587265491485596,2.784031867980957,34.25025939941406,259.5555782318115,9.394065193507982,10.293078422546387,118,25,131,ok,,
req_007,mixed_batching,long,2.5602422247308967,2.560979127883911,2.5976972579956055,5.447664976119995,36.718130111694336,2886.685848236084,9.53144054349051,10.642147064208983,1729,300,160,ok,,
req_008,mixed_batching,short,2.7794606884894932,2.7801506519317627,2.8134138584136963,3.0446066856384277,33.263206481933594,264.45603370666504,9.631695954695992,11.204171180725096,118,25,131,ok,,
req_009,mixed_batching,short,2.7915607593724365,2.792816162109375,2.8232839107513428,3.0541555881500244,30.467748641967773,261.3394260406494,9.615089582360309,11.18357181549072,118,25,131,ok,,
req_010,mixed_batching,short,2.8902474377563663,2.8916215896606445,2.92897629737854,3.158355236053467,37.35470771789551,266.73364639282227,9.573055350262186,10.560297966003418,118,25,131,ok,,
req_011,mixed_batching,short,3.1718136489028277,3.1728250980377197,3.2082114219665527,3.4372897148132324,35.38632392883301,264.4646167755127,9.511045787645424,10.393881797790527,118,25,131,ok,,
req_012,mixed_batching,short,3.1825714103749507,3.183659076690674,3.218816041946411,3.4465625286102295,35.156965255737305,262.90345191955566,9.490728378295898,10.24627685546875,118,25,131,ok,,
req_013,mixed_batching,short,3.271248078040423,3.2724428176879883,3.3043317794799805,3.531898021697998,31.888961791992188,259.45520401000977,9.50399689052416,10.268712043762207,118,25,131,ok,,
req_014,mixed_batching,short,3.691044878529452,3.6923105716705322,3.722447633743286,3.977372884750366,30.137062072753906,285.062313079834,9.408969145554762,10.216593742370605,135,28,132,ok,,
req_015,mixed_batching,short,4.005976580226412,4.007242441177368,4.043931722640991,4.365852355957031,36.68928146362305,358.6099147796631,9.403813969005238,10.14242172241211,163,35,132,ok,,
